Work Item Type,Title 1,Title 2,Title 3,Title 4,Area Path,Iteration Path
Deliverable,,,,Reporting formats and frequency,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Escalation processes for issues,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(11) Project Risk Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.1 Plan Risk Management,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk management approach and methodology,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Roles and responsibilities for risk management,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Timing and frequency of risk management activities,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk categories and definitions,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder involvement in risk management,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.2 Identify Risks,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Description of each risk,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Potential impact and likelihood,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk owners,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk categories,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.3 Perform Qualitative Risk analysis,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,"Updated Risk Register: Includes prioritized risks based on their impact and probability, as well as additional information from qualitative analysis.",Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.4 Perform Quantitative Risk,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Quantitative Risk Analysis Results,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Risk Register,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.5 Plan Risk Responses,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Response Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Risk Register,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(12) Project Procurement Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,12.1 Plan Procurement Management,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Procurement Management Plan,Add Your Area Path Here,Add Your Iteration Path Here
